Posição no depósito;Corr.pos.dep.;Col.posição depósito;Nível pos.dep.;Subdiv.pos.dep.;Tipo de depósito;Área armazmto.;Tp.posição depósito
001-092-040-001;001;092;040;001;0010;GERL;P160
001-092-050-001;001;092;050;001;0010;GERL;P160
001-092-060-001;001;092;060;001;0010;GERL;P200
001-093-010-001;001;093;010;001;0010;GERL;P160
001-093-020-001;001;093;020;001;0010;GERL;P160
001-093-030-001;001;093;030;001;0010;GERL;P160
001-093-040-001;001;093;040;001;0010;GERL;P160
001-093-050-001;001;093;050;001;0010;GERL;P160
001-093-060-001;001;093;060;001;0010;GERL;P200
001-094-010-001;001;094;010;001;0010;GERL;P160
001-094-020-001;001;094;020;001;0010;GERL;P160
001-094-030-001;001;094;030;001;0010;GERL;P160
001-094-040-001;001;094;040;001;0010;GERL;P160
001-094-050-001;001;094;050;001;0010;GERL;P160
001-094-060-001;001;094;060;001;0010;GERL;P200
001-095-010-001;001;095;010;001;0010;GERL;P160
001-095-020-001;001;095;020;001;0010;GERL;P160
001-095-030-001;001;095;030;001;0010;GERL;P160
001-095-040-001;001;095;040;001;0010;GERL;P160
001-095-050-001;001;095;050;001;0010;GERL;P160
001-095-060-001;001;095;060;001;0010;GERL;P200
001-096-010-001;001;096;010;001;0010;GERL;P160
001-096-020-001;001;096;020;001;0010;GERL;P160
001-096-030-001;001;096;030;001;0010;GERL;P160
001-096-040-001;001;096;040;001;0010;GERL;P160
001-096-050-001;001;096;050;001;0010;GERL;P160
001-096-060-001;001;096;060;001;0010;GERL;P200
001-097-010-001;001;097;010;001;0010;GERL;P160
001-097-020-001;001;097;020;001;0010;GERL;P160
001-097-030-001;001;097;030;001;0010;GERL;P160
001-097-040-001;001;097;040;001;0010;GERL;P160
001-097-050-001;001;097;050;001;0010;GERL;P160
001-097-060-001;001;097;060;001;0010;GERL;P200
001-098-010-001;001;098;010;001;0010;GERL;P160
001-098-020-001;001;098;020;001;0010;GERL;P160
001-098-030-001;001;098;030;001;0010;GERL;P160
001-098-040-001;001;098;040;001;0010;GERL;P160
001-098-050-001;001;098;050;001;0010;GERL;P160
001-098-060-001;001;098;060;001;0010;GERL;P200
001-099-010-001;001;099;010;001;0010;GERL;P160
001-099-020-001;001;099;020;001;0010;GERL;P160
001-099-030-001;001;099;030;001;0010;GERL;P160
001-099-040-001;001;099;040;001;0010;GERL;P160
